Roll Call Number,Summary,Hot Button Status,Bill Text,Votes
Roll Call 4,HB 366 aims to amend Georgia's laws regarding legal defense for indigent individuals by allowing certain alternative delivery systems to opt out of having a public defender in specific situations. The bill also corrects cross-references within the legal code and addresses the appropriation of funds for indigent defense.,potential hot button issue,"HB 366. By Representatives Murphy of the 23rd, Knox of the 24th, Amerson of the 9th, Hill of the 21st, Byrd of the 20th and others: A BILL to be entitled an Act to amend Chapter 12 of Title 17 of the Official Code of Georgia Annotated, relating to legal defense for indigents, so as to allow alternative delivery systems to opt out from having a public defender system under certain circumstances; to correct cross-references; to amend Code Section 15-21-77 of the Official Code of Georgia Annotated, relating to collections to be appropriated for indigent defense, to correct a cross-reference; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Rogers of the 21st. TUESDAY, MARCH 22, 2005 1941 Senators Rogers of the 21st, Stephens of the 27th and Pearson of the 51st offered the following amendment #1: Amend","Y Adelman Y Balfour N Brown Y Bulloch N Butler Cagle Y Carter Y Chance Y Chapman Y Douglas N Fort Y Goggans Y Golden Y Grant Y Hamrick Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones Y Kemp Y Me V Bremen N Miles Y Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Smith Y Starr Y Staton Y Stephens Y Stoner Tate Y Thomas,D N Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman Y Walker Y Weber Y Whitehead 26 1942 Y Harbison Y Harp Y Heath Y Henson Y Schaefer Y Seabaugh Seay Y Shafer,D Y Wiles Y Williams E Zamarripa"
Roll Call 5,"HB 216 aims to amend regulations surrounding the sale and distribution of products containing pseudoephedrine, including licensing requirements for sellers and restrictions on precursor chemicals. The bill also establishes penalties for violations and grants authority to the State Board of Pharmacy to enforce related rules and manage licensing processes.",potential hot button issue,"HB 216. By Representatives Neal of the 1st, Ralston of the 7th, Miller of the 106th, Burmeister of the 119th, Sheldon of the 105th and others: A BILL to be entitled an Act to amend Chapter 13 of Title 16 of the O.C.G.A., relating to controlled substances, so as to limit the sale and manner of sale of products containing pseudoephedrine; to provide for exceptions; to provide for mitigation of punishment under certain circumstances; to provide for penalties; to restrict the sale, transfer, manufacture, purchase for resale, and furnishing of certain precursor chemicals; to provide for definitions; to authorize the State Board of Pharmacy to promulgate certain rules and regulations regarding precursor chemicals and licenses and permits; to provide for licensing and permitting of persons who sell, transfer, manufacture, purchase for resale, or otherwise furnish or possess precursor chemicals; to require certain records to be maintained; to provide for exceptions; to provide for certain forfeitures; to provide for penalties; to provide for related matters; to provide an effective date; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Mullis of the 53rd. The Senate Judiciary Committee offered the following substitute to","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Y Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones Y Kemp Y Me V Bremen Y Miles Y Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Smith Y Starr Y Staton Y Stephens Y Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman Y Walker Y Weber Y Whitehead Y Wiles Y Williams E Zamarripa"
Roll Call 8,"HB 643 establishes the Georgia Long-Term Care Partnership Program to amend public assistance regulations regarding Medicaid eligibility by allowing certain assets to be disregarded. Additionally, it outlines the administration of the program, criteria for asset disregard, and permits reciprocal agreements with other states.",potential hot button issue,"HB 643. By Representatives Sheldon of the 105th, Cooper of the 41st, Keen of the 179th, Knox of the 24th and Murphy of the 23rd: A BILL to be entitled an Act to amend Chapter 4 of Title 49 of the Official Code of Georgia Annotated, relating to public assistance, so as to establish the Georgia Long-Term Care Partnership Program; to provide a short title; to provide definitions; to provide for the administration of the program; to provide for certain duties and responsibilities; to provide that certain assets of persons not be considered when certain determinations concerning eligibility for Medicaid assistance are made; to provide for criteria for asset disregard; to provide for reciprocal agreements with other states; to authorize the Department of Community Health and the Commissioner of Insurance to promulgate certain rules and regulations; to provide for certain contingencies; to provide an effective date; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Goggans of the 7th. The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Y Balfour Y Brown E Bulloch Butler Cagle Y Carter Y Chance E Chapman Y Douglas Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Henson Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones Y Kemp Y Me V Bremen Miles Y Moody Y Mullis Y Pearson Y Powell Reed Rogers Y Schaefer Y Seabaugh Y Seay Shafer,D"
Roll Call 12,"HB 327 aims to amend Georgia's workers' compensation laws by allowing the State Board of Workers' Compensation to establish rules for electronic document submission and adjusting the processes for determining injury status and compensation rates for temporary disabilities. Additionally, it introduces a rebuttable presumption for designating catastrophic injuries and addresses various related matters.",potential hot button issue,"HB 327. By Representatives Coan of the 101st, Fleming of the 117th, Carter of the 159th, Williams of the 4th, Teilhet of the 40th and others: A BILL to be entitled an Act to amend Chapter 9 of Title 34 of the Official Code of Georgia Annotated, relating to workers´ compensation, so as to authorize the State Board of Workers´ Compensation to issue rules relating to the electronic submission and transmission of documents; to provide for schedule of hearings relating to determination of noncatastrophic injury status; to change a provision relating to the designation process for a catastrophic injury by creating a rebuttable presumption; to change the compensation for TUESDAY, MARCH 22, 2005 1963 temporary total disability; to change the compensation for temporary partial disability; to provide for related matters; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Hudgens of the 47th. The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Balfour Y Brown E Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort E Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Y Henson Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones Y Kemp Y Me V Bremen Y Miles Y Moody Y Mullis Y Pearson Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Y Smith Y Starr Y Staton Stephens Y Stoner Y Tate Y Thomas,D E Thomas,R Y Thompson,C Y Thompson,S E Tolleson Y Unterman Walker Y Weber Y Whitehead Y Wiles Y Williams E Zamarripa"
Roll Call 14,"HB 58, known as the ""Working Against Recidivism Act,"" allows for the establishment of work programs that employ inmates as voluntary, paid labor for private companies under certain conditions. The bill outlines regulations for these programs, including federal certification, state operation, and compensation for state costs, while ensuring compliance with federal laws.",potential hot button issue,"HB 58. By Representatives Powell of the 29th and Rice of the 51st: A BILL to be entitled an Act to enact the ""Working Against Recidivism Act""; to provide a short title and legislative findings; to amend Chapters 1, 5, and 10 of Title 42 of the O.C.G.A., relating respectively to general provisions relative to penal institutions, state and county correctional institutions, and correctional industries, so as to authorize work programs employing inmates as voluntary, paid labor for privately owned profit-making employers producing goods, services, or goods and services for sale to public or private purchasers under certain circumstances; to provide for rules and regulations; to provide for federal certification and state operation of such programs; to provide for compensation for state costs and use of state resources; to provide for compliance with federal law; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Grant of the 25th. TUESDAY, MARCH 22, 2005 1977 The Senate State Institutions and Property Committee offered the following amendment: Amend","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Fort Goggans Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones Y Kemp Y Me V Bremen Y Miles Y Moody Y Mullis Y Pearson Y Smith Starr Y Staton Y Stephens Y Stoner Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman 44 1978 Y Golden Y Grant Hamrick Y Harbison Y Harp Y Heath Y Henson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Walker Weber Y Whitehead Wiles Y Williams E Zamarripa"
Roll Call 19,"HB 487 proposes to amend Georgia's sales tax exemption for electricity used in irrigation, expanding it to include other fuels. This change is expected to reduce state tax revenue by approximately $204,000 per year.",potential hot button issue,"HB 487. By Representatives Roberts of the 154th, McCall of the 30th, Floyd of the 147th, Royal of the 171st, Ray of the 136th and others: A BILL to be entitled an Act to amend Code Section 48-8-3 of the Official Code of Georgia Annotated, relating to exemptions from state sales and use tax, so as to change the exemption regarding electricity sales for irrigation of farm crops; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Cagle of the 49th. The following Fiscal Note, as required by law, was read by the Secretary: DEPARTMENT OF AUDITS AND ACCOUNTS 254 Washington Street, S.W., Suite 214 Atlanta, Georgia 30334-8400 Russell W. Hinton State Auditor (404) 656-2174 February 14, 2005 Honorable Larry O’Neal, Chairman House Ways and Means Committee State Capitol, Room 133 Atlanta, Georgia 30334 SUBJECT: Fiscal Note House Bill 487 (LC 18 4102) Dear Chairman O’Neal: This bill would change the sales tax exemption on the sale of electricity for operation of irrigation systems used on farm crops. The exemption would be broadened to refer to “electricity or other fuel”. The Georgia State University Fiscal Research Center indicates that the exemption of these fuel expenditures from the sales tax would reduce Georgia tax revenue by $204,000 50 1990 per year. The Center indicated that based on the latest data available, fuel expenses for on-farm pumping of irrigation water in the State of Georgia totaled $10,905,000 in 2003. Of this total, expenditures on fuels other than electricity equaled $5,100,000. This data was reported by the USDA National Agricultural Statistics Service, 2002 Census of Agriculture, 2003 Farm and Ranch Irrigation Survey. This estimate was calculated by multiplying the 4% state sales tax rate times $5,100,000, the additional expenditures on fuels that would be exempt under the proposed legislation. The long range impact of this proposed legislation is expected to remain in the range of this estimate. Energy consumption for irrigation is not projected to increase substantially over time. While prices for petroleum products increased substantially in late 2004, they are likely to moderate somewhat over the near term and then, on average, rise gradually. Sincerely, /s/ Russell W. Hinton State Auditor /s/ Timothy A. Connell, Director Office of Planning and Budget The Senate Finance Committee offered the following substitute to","Y Adelman Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones E Kemp E Me V Bremen Y Miles Y Moody Y Smith Y Starr Y Staton E Stephens E Stoner Y Tate Y Thomas,D N Thomas,R Y Thompson,C E Thompson,S 51 1992 Fort Y Goggans Y Golden Y Grant Hamrick Y Harbison Y Harp Y Heath E Henson Y Mullis Y Pearson Y Powell Y Reed Rogers Y Schaefer E Seabaugh Y Seay Y Shafer,D Y Tolleson Y Unterman Y Walker Y Weber Y Whitehead Y Wiles Williams Y Zamarripa"
Roll Call 20,"HB 389 seeks to amend Georgia's job tax credit program by introducing an additional tax credit of $500 for each new full-time job created by certain existing businesses that have operated in the state for at least three years. This credit would be applicable for newly created jobs starting from January 1, 2006, until the end of the tax year starting prior to January 1, 2011, and would result in an estimated revenue loss of $21.2 million over five tax years.",potential hot button issue,"HB 389. By Representatives Roberts of the 154th, Smith of the 129th, Golick of the 34th, Smith of the 131st, Burns of the 157th and others: A BILL to be entitled an Act to amend Code Section 48-7-40 of the Official Code of Georgia Annotated, relating to designation of counties as less developed areas for the purpose of tax credits with respect to certain business enterprises, so as to provide a definition; to provide for an additional tax credit for certain existing business enterprises; to provide for procedures, conditions, and limitations; to provide for powers, duties, and authority of the state revenue commissioner; to provide an effective date; to provide for applicability; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Cagle of the 49th. The following Fiscal Note, as required by law, was read by the Secretary: DEPARTMENT OF AUDITS AND ACCOUNTS 254 Washington Street, S.W., Suite 214 Atlanta, Georgia 30334-8400 Russell W. Hinton State Auditor (404) 656-2174 February 14, 2005 Honorable Larry O’Neal, Chairman House Ways and Means Committee State Capitol, Room 133 Atlanta, Georgia 30334 TUESDAY, MARCH 22, 2005 1993 SUBJECT: Fiscal Note House Bill 389 (LC 18 4111-EC) Dear Chairman O’Neal: This bill modifies the existing job tax credit program. The bill provides for an additional state income tax credit for certain businesses that have operated within the state for the immediately preceding three years. These businesses would be allowed, under certain conditions, a one year tax credit of $500 for each new full-time employee job. The credit would be claimed in year two after the job was created and would apply only to new jobs created in taxable years beginning on or after January 1, 2006, and ending no later than taxable years beginning prior to January 1, 2011. The additional tax credit cannot be carried forward. Eligible industries and the required minimum number of jobs created are the same as for the current job tax credit. The Georgia State University Fiscal Research Center indicates that for the five tax years 2007 through 2011, the total estimated revenue loss is $21.2 million, or $4.24 million per year. This assumes that the additional credit is allowed for only one year. The modification to paragraph (e)(2) in Section 1 of the bill states that the additional credit is allowed for one year after the creation of the job. This paragraph also states that the credit shall not be allowed during a year if the employment increase falls below the required number of new jobs. This seems to imply that the credit can be taken for more than one year. The Center provided the following narrative regarding the calculation of their revenue estimate: Using employment security records, an estimate of the number of jobs that would have been eligible for each year 1996 through 2004 was determined. To be eligible, a firm had to be in an eligible industry, had to be in existence for three years, and had to have created the minimum number of jobs. Employment growth over the past four years has been low. To be more reflective of future job growth, the estimated number of jobs determined to have been eligible for the period 1996 through 2000 was used for the revenue estimation. Experience with the job tax credit program suggests that not all firms that appear to be eligible take the job tax credit. The most recent estimate of the participation rate is 30 percent. Multiplying the number of eligible jobs by $500 times the participation rate yields the revenue estimate. Table 1 presents the annual estimated revenue loss. For the five tax years, 2007 through 2011, the total estimated revenue loss is $21.2 million, or $4.24 million per year. 52 1994 Table 1. Annual Estimated Revenue Loss Year Revenue Loss (in millions) 2007 $ 3.8 2008 $ 4.2 2009 $ 4.4 2010 $ 4.8 2011 $ 4.0 Total $21.2 Note that if the credit can be taken for five years, then the estimated revenue loss for the next five years would be as seen in Table 2. Table 2. Annual Estimated Revenue Loss Year Revenue Loss (in millions) 2007 $ 3.8 2008 $ 8.0 2009 $12.4 2010 $17.2 2011 $21.2 Sincerely, /s/ Russell W. Hinton State Auditor /s/ Timothy A. Connell, Director Office of Planning and Budget The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Y Balfour Y Brown Y Bulloch N Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones E Kemp E Me V Bremen N Miles Y Moody Y Smith Y Starr Y Staton E Stephens E Stoner Y Tate Y Thomas,D N Thomas,R Y Thompson,C E Thompson,S TUESDAY, MARCH 22, 2005 Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath E Henson Y Mullis Y Pearson Powell Y Reed Y Rogers Y Schaefer E Seabaugh Y Seay Y Shafer,D 1995 Y Tolleson Y Unterman Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 21,"HB 196 aims to amend provisions related to food standards, labeling, and consumption in Georgia's food regulations. The bill intends to simplify regulations regarding common-sense consumption and repeal any conflicting laws.",potential hot button issue,"HB 196. By Representatives Smith of the 113th, Ehrhart of the 36th, Willard of the 49th, Fleming of the 117th, Parrish of the 156th and others: A BILL to be entitled an Act to amend Chapter 2 of Title 26 of the Official Code of Georgia Annotated, relating to standards, labeling, and adulteration of food, so as to change certain provisions relating to common-sense consumption; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Bulloch of the 11th. The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Y Balfour Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Chapman Y Douglas Fort Y Goggans Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Johnson (PRS) Y Jones E Kemp E Me V Bremen Y Miles Y Moody Y Mullis Y Pearson Y Smith Y Starr Y Staton E Stephens E Stoner Tate Y Thomas,D Y Thomas,R Y Thompson,C E Thompson,S Y Tolleson Y Unterman 53 1996 Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath E Henson Y Powell Y Reed Y Rogers Y Schaefer E Seabaugh Y Seay Y Shafer,D Y Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 22,"House Bill 404 amends Georgia's unemployment benefit laws to ensure that individuals who leave their jobs to follow a military spouse during a transfer are not disqualified from receiving benefits. The bill could potentially cost the Unemployment Insurance Trust Fund between $2.1 million and $3.7 million annually, depending on economic conditions and the number of new beneficiaries.",potential hot button issue,"HB 404. By Representatives Yates of the 73rd, Orrock of the 58th, Lakly of the 72nd, Freeman of the 140th, Warren of the 122nd and others: A BILL to be entitled an Act to amend Code Section 34-8-194 of the Official Code of Georgia Annotated, relating to grounds for disqualification of unemployment benefits, so as to provide that leaving an employer because of the transfer of a spouse from one military assignment to another shall not disqualify a person from such benefits; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Douglas of the 17th. The following Fiscal Note, as required by law, was read by the Secretary: DEPARTMENT OF AUDITS AND ACCOUNTS 254 Washington Street, S.W., Suite 214 Atlanta, Georgia 30334-8400 Russell W. Hinton State Auditor (404) 656-2174 February 21, 2005 The Honorable John Yates, Chairman Defense and Veterans Affairs Committee State Capitol, Room 217 Atlanta, Georgia 30334 SUBJECT: Fiscal Note House Bill 404 (LC 21 8121) TUESDAY, MARCH 22, 2005 1997 Dear Chairman Yates: This bill would amend unemployment benefit insurance provisions to provide that persons leaving an employer to accompany a spouse who has been reassigned from one military assignment to another are not disqualified from receiving benefits by that fact alone. Depending on Georgia’s economy and the related number of unemployment insurance beneficiaries, the fiscal impact of this bill to the Unemployment Insurance Trust Fund could approximate from $2.1 million to $3.7 million annually. The assumptions used to calculate these amounts are described below. The Georgia Department of Labor (DOL) does not maintain data on the number of persons who do not qualify for unemployment benefits for the reason cited in this bill. However, DOL obtained information from another state, which indicates the number of persons receiving unemployment insurance benefits there increased by ½ of 1 percent after implementation of similar legislation. Assuming that Georgia would have a similar experience, this percentage increase was applied to the total number of unemployment insurance beneficiaries in Georgia. DOL noted that the state providing unemployment data has only three military bases so the extent to which this percentage would approximate actual experience in Georgia cannot be determined. The low estimate of $2.1 million is based on data from 1999 which, according to DOL, was a non-recession year. In 1999, DOL data shows that there were 199,853 persons in Georgia who received unemployment insurance benefits for an average of 9 weeks. Consequently, if Georgia experiences a similar non-recession year in the future, this bill could increase the number of beneficiaries by 999 (199,853 x 0.5%). Multiplying this potential number of new beneficiaries (999) by the average number of benefit weeks (9) and by the current average weekly benefit of $235 would yield a fiscal impact of approximately $2.1 million. The high estimate of $3.7 million is based on year 2004 DOL data. In 2004, this data shows that there were 265,324 persons in Georgia who received unemployment insurance benefits for an average of 12 weeks. Using these figures, this bill could increase the number of beneficiaries by 1,327 (265,324 x 0.5%). Multiplying the number of new beneficiaries (1,327) by the average number of benefit weeks (12) and the current average weekly benefit of $235 would yield a fiscal impact of approximately $3.7 million. 54 1998 Sincerely, /s/ Russell W. Hinton State Auditor /s/ Tim Connell, Director Office of Planning and Budget The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath E Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Johnson (PRS) Y Jones E Kemp E Me V Bremen Y Miles Y Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer E Seabaugh Y Seay Y Shafer,D Y Smith Y Starr Y Staton Y Stephens E Stoner Tate Thomas,D Y Thomas,R Y Thompson,C E Thompson,S Y Tolleson Y Unterman Y Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 24,"HB 390 aims to establish a State Commission on the Efficacy of the Certificate of Need Program in Georgia, outlining its composition, powers, duties, and member compensation. The bill includes provisions for a final report and automatic repeal on a specified date, and it has received a favorable committee report for passage.",potential hot button issue,"HB 390. By Representatives Scott of the 153rd and Brown of the 69th: A BILL to be entitled an Act to amend Chapter 6 of Title 31 of the Official Code of Georgia Annotated, relating to state health planning and development, so as to create a State Commission on the Efficacy of the Certificate of Need Program; to provide for legislative intent; to provide for composition of the commission and the commission´s powers and duties; to provide for compensation of the members of the commission; to provide for officers of the 55 2000 commission; to provide for a quorum for the transaction of business; to provide for a final report; to provide for related matters; to provide an effective date; to provide for automatic repeal on a certain date; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Wiles of the 37th. The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Y Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Johnson (PRS) Jones E Kemp E Me V Bremen Y Miles Y Moody Y Mullis Y Pearson Powell Reed Y Rogers Y Schaefer E Seabaugh Y Seay Y Shafer,D Smith Y Starr Y Staton Y Stephens E Stoner Tate Y Thomas,D Y Thomas,R Y Thompson,C E Thompson,S Tolleson Y Unterman Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
